text,label
It barely worked and felt terrible.,0
I'm genuinely disappointed. annoying and frustrating.,0
The experience was fantastic. Great job.,1
This was excellent. The product made me happy.,1
This was frustrating. The product made me annoyed.,0
So annoying! I regret every minute of it.,0
It barely worked and felt disappointing.,0
It worked perfectly and felt fantastic.,1
So horrible! I regret every minute of it.,0
It barely worked and felt terrible.,0
Absolutely annoying. Would never try again.,0
The app was broken. Terrible job.,0
I loved this app. It was wonderful and superb.,1
This was excellent. The experience made me happy.,1
Absolutely annoying. Would never try again.,0
So wonderful! I enjoyed every minute of it.,1
So terrible! I regret every minute of it.,0
The feature was delightful. Great job.,1
I'm genuinely impressed. excellent and satisfying.,1
I hated this update. It was bad and unreliable.,0
I'm genuinely disappointed. horrible and frustrating.,0
So frustrating! I regret every minute of it.,0
The game was delightful. Great job.,1
It worked perfectly and felt great.,1
This was pleasant. The game made me happy.,1
Worse than expected — horrible experience.,0
This was frustrating. The feature made me annoyed.,0
The experience was fantastic. Great job.,1
This was horrible. The movie made me annoyed.,0
It worked perfectly and felt smooth.,1
I'm genuinely disappointed. disappointing and frustrating.,0
This was frustrating. The update made me annoyed.,0
I'm genuinely impressed. delightful and satisfying.,1
This was great. The movie made me happy.,1
It barely worked and felt terrible.,0
The game was amazing. Great job.,1
Absolutely delightful. Would try again.,1
I'm genuinely disappointed. disappointing and frustrating.,0
This was wonderful. The feature made me happy.,1
Absolutely awful. Would never watch again.,0
It worked perfectly and felt fantastic.,1
I'm genuinely disappointed. terrible and frustrating.,0
It barely worked and felt frustrating.,0
I'm genuinely disappointed. frustrating and frustrating.,0
Absolutely horrible. Would never use again.,0
I hated this service. It was bad and boring.,0
Absolutely frustrating. Would never watch again.,0
I hated this movie. It was terrible and messy.,0
I loved this game. It was pleasant and refreshing.,1
I hated this service. It was bad and unreliable.,0
So delightful! I enjoyed every minute of it.,1
It worked perfectly and felt amazing.,1
It worked perfectly and felt amazing.,1
Worse than expected — disappointing experience.,0
It worked perfectly and felt delightful.,1
Absolutely fantastic. Would watch again.,1
The update was wonderful. Great job.,1
Absolutely excellent. Would watch again.,1
I hated this service. It was disappointing and confusing.,0
It worked perfectly and felt amazing.,1
I hated this update. It was horrible and a waste of time.,0
Worse than expected — broken experience.,0
Absolutely horrible. Would never recommend again.,0
It worked perfectly and felt pleasant.,1
It worked perfectly and felt delightful.,1
I loved this game. It was fantastic and satisfying.,1
The product was annoying. Terrible job.,0
Worse than expected — terrible experience.,0
I'm genuinely impressed. wonderful and satisfying.,1
I'm genuinely impressed. delightful and satisfying.,1
I'm genuinely impressed. pleasant and satisfying.,1
It worked perfectly and felt great.,1
Better than expected — delightful experience.,1
I loved this experience. It was great and satisfying.,1
So annoying! I regret every minute of it.,0
The product was delightful. Great job.,1
It barely worked and felt horrible.,0
